﻿"INDEX_KEY","CRTR_YMD","CRTR_WEEK","DWK_NM","CTPV_CD","CTPV_NM","SGG_CD","SGG_NM","TMZN_CD","SEX_DV","AGRDE_CLS","REVISN_LIVE_PUL_CNT"
"LI122200010006LI122200010006270751","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","11","MALE","14","9996.771332"
"LI122200010006LI122200010006270752","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","1","MALE","5","10547.21475"
"LI122200010006LI122200010006270753","20211217","50","금","36","세종특별자치시","3611","세종특별자치시","12","MALE","9","16758.52168"
"LI122200010006LI122200010006270754","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","8","17543.46186"
"LI122200010006LI122200010006270755","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","6","FEMALE","12","10234.98741"
"LI122200010006LI122200010006270756","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","9","MALE","9","15424.98"
"LI122200010006LI122200010006270757","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","7","17004.86938"
"LI122200010006LI122200010006270758","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","20","FEMALE","8","19479.58738"
"LI122200010006LI122200010006270759","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","2","MALE","6","12371.04364"
"LI122200010006LI122200010006270760","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","8","MALE","8","19347.63103"
"LI122200010006LI122200010006270761","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","2","MALE","12","9660.835052"
"LI122200010006LI122200010006270762","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","13","FEMALE","11","9241.716964"
"LI122200010006LI122200010006270763","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","22","MALE","11","10674.5039"
"LI122200010006LI122200010006270764","20211209","49","목","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","12","9863.476727"
"LI122200010006LI122200010006270765","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","7","FEMALE","6","13393.42212"
"LI122200010006LI122200010006270766","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","12","10347.62275"
"LI122200010006LI122200010006270767","20211214","50","화","36","세종특별자치시","3611","세종특별자치시","3","FEMALE","5","9854.743365"
"LI122200010006LI122200010006270768","20211231","52","금","36","세종특별자치시","3611","세종특별자치시","4","MALE","5","9915.949703"
"LI122200010006LI122200010006270769","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","9","MALE","2","20347.24327"
"LI122200010006LI122200010006270770","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","23","FEMALE","14","13905.02493"
"LI122200010006LI122200010006270771","20211217","50","금","36","세종특별자치시","3611","세종특별자치시","17","MALE","1","6405.776771"
"LI122200010006LI122200010006270772","20211205","48","일","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","10","12394.28498"
"LI122200010006LI122200010006270773","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","14","MALE","2","19724.01888"
"LI122200010006LI122200010006270774","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","0","FEMALE","11","9654.73218"
"LI122200010006LI122200010006270775","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","20","FEMALE","14","13744.0191"
"LI122200010006LI122200010006270776","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","3","MALE","5","10278.42311"
"LI122200010006LI122200010006270777","20211209","49","목","36","세종특별자치시","3611","세종특별자치시","20","FEMALE","8","19622.56323"
"LI122200010006LI122200010006270778","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","9","15138.65271"
"LI122200010006LI122200010006270779","20211215","50","수","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","8","19584.76678"
"LI122200010006LI122200010006270780","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","5","10678.97321"
"LI122200010006LI122200010006270781","20211213","50","월","36","세종특별자치시","3611","세종특별자치시","18","MALE","10","14402.804"
"LI122200010006LI122200010006270782","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","5","FEMALE","6","13546.81941"
"LI122200010006LI122200010006270783","20211210","49","금","36","세종특별자치시","3611","세종특별자치시","0","MALE","11","10658.05986"
"LI122200010006LI122200010006270784","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","3","FEMALE","6","12500.79732"
"LI122200010006LI122200010006270785","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","1","MALE","4","9345.534123"
"LI122200010006LI122200010006270786","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","11","FEMALE","2","19048.64064"
"LI122200010006LI122200010006270787","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","0","MALE","3","20998.3493"
"LI122200010006LI122200010006270788","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","8","MALE","11","11516.26736"
"LI122200010006LI122200010006270789","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","6","MALE","14","9864.630181"
"LI122200010006LI122200010006270790","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","22","FEMALE","11","9557.250231"
"LI122200010006LI122200010006270791","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","3","18955.27034"
"LI122200010006LI122200010006270792","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","18","FEMALE","14","13787.50692"
"LI122200010006LI122200010006270793","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","7","16088.89016"
"LI122200010006LI122200010006270794","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","7","16452.3865"
"LI122200010006LI122200010006270795","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","8","18198.66501"
"LI122200010006LI122200010006270796","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","9","15431.62919"
"LI122200010006LI122200010006270797","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","4","FEMALE","1","6518.357286"
"LI122200010006LI122200010006270798","20211223","51","목","36","세종특별자치시","3611","세종특별자치시","3","MALE","3","20961.20355"
"LI122200010006LI122200010006270799","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","14","MALE","10","14434.71532"
"LI122200010006LI1222000100062707100","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","5","FEMALE","1","6607.695565"
"LI122200010006LI1222000100062707101","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","22","MALE","6","12593.58941"
"LI122200010006LI1222000100062707102","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","20","FEMALE","13","6991.21208"
"LI122200010006LI1222000100062707103","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","12","9934.44766"
"LI122200010006LI1222000100062707104","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","13","FEMALE","10","11952.15385"
"LI122200010006LI1222000100062707105","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","21","FEMALE","2","18488.54705"
"LI122200010006LI1222000100062707106","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","11","FEMALE","14","13929.02153"
"LI122200010006LI1222000100062707107","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","13","MALE","9","15117.11133"
"LI122200010006LI1222000100062707108","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","6","13201.29348"
"LI122200010006LI1222000100062707109","20211209","49","목","36","세종특별자치시","3611","세종특별자치시","4","FEMALE","5","10039.89294"
"LI122200010006LI1222000100062707110","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","19","MALE","4","9599.706577"
"LI122200010006LI1222000100062707111","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","23","MALE","1","5583.275873"
"LI122200010006LI1222000100062707112","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","14","13827.78356"
"LI122200010006LI1222000100062707113","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","22","MALE","9","17067.55624"
"LI122200010006LI1222000100062707114","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","17","MALE","10","13519.37966"
"LI122200010006LI1222000100062707115","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","4","FEMALE","7","17694.82465"
"LI122200010006LI1222000100062707116","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","1","6011.944501"
"LI122200010006LI1222000100062707117","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","6","13470.57972"
"LI122200010006LI1222000100062707118","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","7","FEMALE","7","17788.6299"
"LI122200010006LI1222000100062707119","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","16","MALE","5","11218.39365"
"LI122200010006LI1222000100062707120","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","13","FEMALE","8","18281.04279"
"LI122200010006LI1222000100062707121","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","19","FEMALE","8","19853.61134"
"LI122200010006LI1222000100062707122","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","4","FEMALE","14","13885.58187"
"LI122200010006LI1222000100062707123","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","13","MALE","7","13296.11457"
"LI122200010006LI1222000100062707124","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","14","MALE","11","11288.69346"
"LI122200010006LI1222000100062707125","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","2","MALE","6","12514.76448"
"LI122200010006LI1222000100062707126","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","8","18628.84062"
"LI122200010006LI1222000100062707127","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","5","MALE","13","6976.747375"
"LI122200010006LI1222000100062707128","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","23","MALE","8","19129.89946"
"LI122200010006LI1222000100062707129","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","8","MALE","9","16834.447"
"LI122200010006LI1222000100062707130","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","16","MALE","6","11863.21985"
"LI122200010006LI1222000100062707131","20211231","52","금","36","세종특별자치시","3611","세종특별자치시","4","MALE","1","3355.532044"
"LI122200010006LI1222000100062707132","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","0","MALE","12","9499.633473"
"LI122200010006LI1222000100062707133","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","1","MALE","1","5984.592556"
"LI122200010006LI1222000100062707134","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","11","9759.181761"
"LI122200010006LI1222000100062707135","20211223","51","목","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","10","12515.36023"
"LI122200010006LI1222000100062707136","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","10","MALE","14","9679.117597"
"LI122200010006LI1222000100062707137","20211219","50","일","36","세종특별자치시","3611","세종특별자치시","11","MALE","8","17651.7659"
"LI122200010006LI1222000100062707138","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","3","MALE","12","9750.186242"
"LI122200010006LI1222000100062707139","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","22","FEMALE","9","15782.12503"
"LI122200010006LI1222000100062707140","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","17","MALE","3","19908.2029"
"LI122200010006LI1222000100062707141","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","23","MALE","11","10721.2855"
"LI122200010006LI1222000100062707142","20211220","51","월","36","세종특별자치시","3611","세종특별자치시","14","MALE","2","20516.11996"
"LI122200010006LI1222000100062707143","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","6","FEMALE","3","19293.34919"
"LI122200010006LI1222000100062707144","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","9","15480.42588"
"LI122200010006LI1222000100062707145","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","13","MALE","10","14371.51084"
"LI122200010006LI1222000100062707146","20211209","49","목","36","세종특별자치시","3611","세종특별자치시","5","MALE","8","18346.19656"
"LI122200010006LI1222000100062707147","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","14","MALE","13","6942.033649"
"LI122200010006LI1222000100062707148","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","2","MALE","11","10767.93125"
"LI122200010006LI1222000100062707149","20211221","51","화","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","14","13657.9314"
"LI122200010006LI1222000100062707150","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","4","9269.120871"
"LI122200010006LI1222000100062707151","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","11","FEMALE","1","6865.178995"
"LI122200010006LI1222000100062707152","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","14","13935.86538"
"LI122200010006LI1222000100062707153","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","1","FEMALE","1","6883.612183"
"LI122200010006LI1222000100062707154","20211213","50","월","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","13","7161.082787"
"LI122200010006LI1222000100062707155","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","20","MALE","7","16050.61442"
"LI122200010006LI1222000100062707156","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","9","FEMALE","2","18443.97755"
"LI122200010006LI1222000100062707157","20211220","51","월","36","세종특별자치시","3611","세종특별자치시","5","MALE","3","20465.08333"
"LI122200010006LI1222000100062707158","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","21","MALE","5","10379.9458"
"LI122200010006LI1222000100062707159","20211205","48","일","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","5","9426.851916"
"LI122200010006LI1222000100062707160","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","18","FEMALE","13","6900.231244"
"LI122200010006LI1222000100062707161","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","23","MALE","2","18936.88356"
"LI122200010006LI1222000100062707162","20211215","50","수","36","세종특별자치시","3611","세종특별자치시","21","MALE","3","20466.11045"
"LI122200010006LI1222000100062707163","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","4","7245.420376"
"LI122200010006LI1222000100062707164","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","17","MALE","9","15608.48452"
"LI122200010006LI1222000100062707165","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","16","MALE","10","14334.06942"
"LI122200010006LI1222000100062707166","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","5","MALE","13","6866.467631"
"LI122200010006LI1222000100062707167","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","6","13050.33976"
"LI122200010006LI1222000100062707168","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","22","MALE","7","16662.86604"
"LI122200010006LI1222000100062707169","20211214","50","화","36","세종특별자치시","3611","세종특별자치시","3","FEMALE","8","19636.53921"
"LI122200010006LI1222000100062707170","20211223","51","목","36","세종특별자치시","3611","세종특별자치시","2","MALE","12","9766.248382"
"LI122200010006LI1222000100062707171","20211203","48","금","36","세종특별자치시","3611","세종특별자치시","17","FEMALE","2","19679.14633"
"LI122200010006LI1222000100062707172","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","11","MALE","6","11978.59632"
"LI122200010006LI1222000100062707173","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","1","FEMALE","2","17847.15555"
"LI122200010006LI1222000100062707174","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","1","MALE","4","10222.69277"
"LI122200010006LI1222000100062707175","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","10","MALE","5","10173.63717"
"LI122200010006LI1222000100062707176","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","10","12421.3778"
"LI122200010006LI1222000100062707177","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","13","MALE","7","14236.34418"
"LI122200010006LI1222000100062707178","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","17","MALE","3","20652.99071"
"LI122200010006LI1222000100062707179","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","2","FEMALE","6","13670.48382"
"LI122200010006LI1222000100062707180","20211217","50","금","36","세종특별자치시","3611","세종특별자치시","3","MALE","12","10040.4154"
"LI122200010006LI1222000100062707181","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","10","MALE","1","6941.40847"
"LI122200010006LI1222000100062707182","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","9","MALE","7","16290.13933"
"LI122200010006LI1222000100062707183","20211231","52","금","36","세종특별자치시","3611","세종특별자치시","23","MALE","9","16506.44457"
"LI122200010006LI1222000100062707184","20211214","50","화","36","세종특별자치시","3611","세종특별자치시","11","MALE","9","15537.88829"
"LI122200010006LI1222000100062707185","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","12","10220.09883"
"LI122200010006LI1222000100062707186","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","16","MALE","6","11535.88368"
"LI122200010006LI1222000100062707187","20211215","50","수","36","세종특별자치시","3611","세종특별자치시","18","MALE","11","10912.28393"
"LI122200010006LI1222000100062707188","20211208","49","수","36","세종특별자치시","3611","세종특별자치시","22","MALE","12","9855.244407"
"LI122200010006LI1222000100062707189","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","4","FEMALE","14","14110.08046"
"LI122200010006LI1222000100062707190","20211229","52","수","36","세종특별자치시","3611","세종특별자치시","6","FEMALE","4","8083.961427"
"LI122200010006LI1222000100062707191","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","5","MALE","13","6712.311178"
"LI122200010006LI1222000100062707192","20211215","50","수","36","세종특별자치시","3611","세종특별자치시","9","MALE","9","16091.9705"
"LI122200010006LI1222000100062707193","20211223","51","목","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","5","10352.13168"
"LI122200010006LI1222000100062707194","20211213","50","월","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","9","15621.45284"
"LI122200010006LI1222000100062707195","20211213","50","월","36","세종특별자치시","3611","세종특별자치시","22","MALE","5","10583.73261"
"LI122200010006LI1222000100062707196","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","15","MALE","14","9657.598407"
"LI122200010006LI1222000100062707197","20211206","49","월","36","세종특별자치시","3611","세종특별자치시","10","FEMALE","6","13334.23512"
"LI122200010006LI1222000100062707198","20211216","50","목","36","세종특별자치시","3611","세종특별자치시","1","MALE","7","16583.90274"
"LI122200010006LI1222000100062707199","20211207","49","화","36","세종특별자치시","3611","세종특별자치시","14","FEMALE","12","9879.095572"
"LI122200010006LI1222000100062707200","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","2","MALE","13","6974.139286"
"LI122200010006LI1222000100062707201","20211209","49","목","36","세종특별자치시","3611","세종특별자치시","5","MALE","10","14475.1038"
"LI122200010006LI1222000100062707202","20211204","48","토","36","세종특별자치시","3611","세종특별자치시","8","MALE","4","10227.01567"
"LI122200010006LI1222000100062707203","20211220","51","월","36","세종특별자치시","3611","세종특별자치시","21","FEMALE","14","13917.74112"
"LI122200010006LI1222000100062707204","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","10","MALE","6","11960.64045"
"LI122200010006LI1222000100062707205","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","11","MALE","13","7167.921888"
"LI122200010006LI1222000100062707206","20211210","49","금","36","세종특별자치시","3611","세종특별자치시","1","FEMALE","2","19286.77497"
"LI122200010006LI1222000100062707207","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","23","FEMALE","2","18410.78599"
"LI122200010006LI1222000100062707208","20211227","52","월","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","3","18234.894"
"LI122200010006LI1222000100062707209","20211222","51","수","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","12","10196.82615"
"LI122200010006LI1222000100062707210","20211228","52","화","36","세종특별자치시","3611","세종특별자치시","13","MALE","13","7284.465432"
"LI122200010006LI1222000100062707211","20211224","51","금","36","세종특별자치시","3611","세종특별자치시","0","MALE","9","17203.47751"
"LI122200010006LI1222000100062707212","20211226","51","일","36","세종특별자치시","3611","세종특별자치시","12","FEMALE","8","17541.55739"
"LI122200010006LI1222000100062707213","20211212","49","일","36","세종특별자치시","3611","세종특별자치시","19","FEMALE","5","9955.311866"
"LI122200010006LI1222000100062707214","20211202","48","목","36","세종특별자치시","3611","세종특별자치시","11","FEMALE","11","10045.76057"
"LI122200010006LI1222000100062707215","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","6","FEMALE","7","17895.28027"
"LI122200010006LI1222000100062707216","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","12","10063.27061"
"LI122200010006LI1222000100062707217","20211201","48","수","36","세종특별자치시","3611","세종특별자치시","6","MALE","2","20340.98167"
"LI122200010006LI1222000100062707218","20211214","50","화","36","세종특별자치시","3611","세종특별자치시","17","MALE","12","9782.21449"
"LI122200010006LI1222000100062707219","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","23","MALE","8","18210.62392"
"LI122200010006LI1222000100062707220","20211225","51","토","36","세종특별자치시","3611","세종특별자치시","8","FEMALE","1","6500.456892"
"LI122200010006LI1222000100062707221","20211230","52","목","36","세종특별자치시","3611","세종특별자치시","20","FEMALE","12","9984.838349"
"LI122200010006LI1222000100062707222","20211218","50","토","36","세종특별자치시","3611","세종특별자치시","15","FEMALE","11","10069.26606"
"LI122200010006LI1222000100062707223","20211211","49","토","36","세종특별자치시","3611","세종특별자치시","21","FEMALE","13","6900.164725"
